"Variables ->","i","r","v_y","v_cpi","E_v_cpi","v_s","E_v_s","v_z","prem","i_star","v_cpi_star","v_y_star","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","D1","D2","D3","Z1","Z2","Z3","i_ss","i_star_ss","prem_ss","r_ss","s_E_v_cpi","s_E_v_s","s_i","s_i_star","s_prem","s_v_cpi","s_v_cpi_star","s_v_s","s_v_y","s_v_y_star","s_v_z","std_s_E_v_cpi","std_s_E_v_s","std_s_i","std_s_i_star","std_s_prem","std_s_v_cpi","std_s_v_cpi_star","std_s_v_s","std_s_v_y","std_s_v_y_star","std_s_v_z","ttrend","v_cpi_ss","v_cpi_star_ss","v_s_ss","v_y_ss","v_y_star_ss","v_z_ss"
"Comments ->","i","r","v_y","v_cpi","E_v_cpi","v_s","E_v_s","v_z","prem","i_star","v_cpi_star","v_y_star","","","","","","","","","","","","","","","","","","","","","","s_E_v_cpi","s_E_v_s","s_i","s_i_star","s_prem","s_v_cpi","s_v_cpi_star","s_v_s","s_v_y","s_v_y_star","s_v_z","","","","","","","","","","","","Time trend","","","","","",""
"Class[Size] ->","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","tseries[100-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","tseries[100-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]"
"2006Q1",4.25000000e+00,-3.96000000e+00,3.70000000e+00,7.28000000e+00,8.21000000e+00,0.00000000e+00,-1.09000000e+00,-3.62000000e+00,2.26000000e+00,4.59000000e+00,3.42000000e+00,3.39000000e+00,9.50000000e-01,1.50000000e-01,7.50000000e-01,7.50000000e-01,7.50000000e-01,1.00000000e-01,3.00000000e-01,1.50000000e-01,9.00000000e-01,1.50000000e+00,5.00000000e-01,2.00000000e-01,4.00000000e-01,8.00000000e-01,7.50000000e-01,7.50000000e-01,7.50000000e-01,4.00000000e+00,3.00000000e+00,1.00000000e+00,0.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.95033085e-03,9.95033085e-03,9.95033085e-03,9.95033085e-03,9.95033085e-03,9.95033085e-03,9.95033085e-03,9.95033085e-03,9.95033085e-03,9.95033085e-03,9.95033085e-03,NaN,4.00000000e+00,2.00000000e+00,0.00000000e+00,3.50000000e+00,2.50000000e+00,-2.00000000e+00
"2006Q2",4.58000000e+00,-2.15000000e+00,3.21000000e+00,7.55000000e+00,6.73000000e+00,0.00000000e+00,-7.00000000e-02,-3.05000000e+00,2.20000000e+00,4.99000000e+00,4.18000000e+00,3.28000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2006Q3",5.00000000e+00,-1.94000000e+00,4.11000000e+00,5.70000000e+00,6.94000000e+00,-1.30000000e-01,-7.00000000e-02,-3.65000000e+00,2.40000000e+00,5.25000000e+00,2.01000000e+00,2.99000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2006Q4",5.00000000e+00,-1.16000000e+00,5.38000000e+00,5.79000000e+00,6.16000000e+00,-1.30000000e-01,3.90000000e-01,-3.16000000e+00,2.20000000e+00,5.24000000e+00,2.52000000e+00,2.85000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2007Q1",5.02000000e+00,-6.00000000e-01,5.92000000e+00,7.02000000e+00,5.63000000e+00,9.20000000e-01,3.90000000e-01,-3.04000000e+00,2.02000000e+00,5.26000000e+00,2.80000000e+00,2.38000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2007Q2",5.50000000e+00,-1.63000000e+00,7.06000000e+00,5.31000000e+00,7.13000000e+00,9.20000000e-01,1.05000000e+00,-1.61000000e+00,1.55000000e+00,5.25000000e+00,2.69000000e+00,2.06000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2007Q3",5.53000000e+00,-9.80000000e-01,7.07000000e+00,7.33000000e+00,6.50000000e+00,1.18000000e+00,6.60000000e-01,-3.08000000e+00,2.14000000e+00,4.94000000e+00,2.83000000e+00,2.03000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2007Q4",6.29000000e+00,-1.66000000e+00,6.30000000e+00,8.75000000e+00,7.94000000e+00,3.90000000e-01,2.70000000e-01,-4.03000000e+00,2.17000000e+00,4.24000000e+00,4.11000000e+00,1.88000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
